timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.586000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.588000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.590000,-165.441115,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.592000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.594000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.596000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.598000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.600000,-165.441115,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.602000,-165.441135,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.604000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.606000,-165.441145,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.608000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.610000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.612000,-165.441135,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.614000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.616000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.618000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.620000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.622000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.624000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.626000,-165.441145,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.628000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.630000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.632000,-165.441125,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.634000,-165.441125,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.636000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.638000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.640000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.642000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.644000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.646000,-165.441115,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.648000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.650000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.652000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.654000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.656000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.658000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.660000,-165.441085,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.662000,-165.441095,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.664000,-165.441085,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.666000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.668000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.670000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.672000,-165.441065,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.674000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.676000,-165.441065,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.678000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.680000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.682000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.684000,-165.441085,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.686000,-165.441095,208.004009,0.0,0.0,2471.999998
